NewValues are Y: 0.435239, Pb: -0.039804, Pr: -0.008352
NewValues are Y: 0.081851, Pb: -0.041765, Pr: -0.008033
NewValues are Y: 0.332573, Pb: -0.026128, Pr: 0.000543
NewValues are Y: 0.266184, Pb: -0.030711, Pr: 0.003141
NewValues are Y: 0.147945, Pb: -0.050294, Pr: 0.000766
NewValues are Y: 0.434541, Pb: -0.054902, Pr: 0.008928
NewValues are Y: 0.298114, Pb: -0.039877, Pr: 0.008338
NewValues are Y: 0.389078, Pb: -0.042524, Pr: 0.016181
NewValues are Y: 0.552039, Pb: -0.050392, Pr: 0.023020
NewValues are Y: 0.581643, Pb: -0.047181, Pr: 0.035470
NewValues are Y: 0.509604, Pb: -0.041936, Pr: 0.030911
NewValues are Y: 0.514059, Pb: -0.040023, Pr: 0.041719
NewValues are Y: 0.486416, Pb: -0.035489, Pr: 0.050248
NewValues are Y: 0.351675, Pb: -0.030268, Pr: 0.051252
NewValues are Y: 0.372176, Pb: -0.026347, Pr: 0.050614
NewValues are Y: 0.340804, Pb: -0.026347, Pr: 0.050614
NewValues are Y: 0.442063, Pb: -0.034803, Pr: 0.042723
NewValues are Y: 0.482600, Pb: -0.039975, Pr: 0.030592
NewValues are Y: 0.404635, Pb: -0.026960, Pr: 0.041448
NewValues are Y: 0.536094, Pb: -0.034754, Pr: 0.031596
NewValues are Y: 0.512737, Pb: -0.050343, Pr: 0.011893
NewValues are Y: 0.524694, Pb: -0.054878, Pr: 0.003365
NewValues are Y: 0.542020, Pb: -0.042524, Pr: 0.016181
NewValues are Y: 0.435200, Pb: -0.046421, Pr: 0.011256
NewValues are Y: 0.498694, Pb: -0.060123, Pr: 0.007924
NewValues are Y: 0.392620, Pb: -0.055588, Pr: 0.016453
NewValues are Y: 0.395984, Pb: -0.046421, Pr: 0.011256
NewValues are Y: 0.440337, Pb: -0.047108, Pr: 0.018780
NewValues are Y: 0.482388, Pb: -0.046494, Pr: 0.027946
NewValues are Y: 0.870557, Pb: -0.035391, Pr: 0.027994
NewValues are Y: 0.408133, Pb: -0.039999, Pr: 0.036156
NewValues are Y: 0.871259, Pb: -0.026935, Pr: 0.035884
NewValues are Y: 0.827031, Pb: -0.019681, Pr: 0.019879
NewValues are Y: 0.501220, Pb: -0.015073, Pr: 0.011717
NewValues are Y: 0.800475, Pb: -0.015759, Pr: 0.019241
NewValues are Y: 0.600153, Pb: -0.011152, Pr: 0.011079
NewValues are Y: 0.687878, Pb: -0.016397, Pr: 0.015639
NewValues are Y: 0.658639, Pb: -0.024240, Pr: 0.016914
NewValues are Y: 0.668271, Pb: -0.016397, Pr: 0.015639
NewValues are Y: 0.608553, Pb: -0.020318, Pr: 0.016276
NewValues are Y: 0.688882, Pb: -0.023602, Pr: 0.020517
NewValues are Y: 0.603569, Pb: -0.030784, Pr: 0.019832
NewValues are Y: 0.481039, Pb: -0.023602, Pr: 0.020517
NewValues are Y: 0.466314, Pb: -0.030784, Pr: 0.019832
NewValues are Y: 0.888714, Pb: -0.030147, Pr: 0.023434
NewValues are Y: 0.760710, Pb: -0.035367, Pr: 0.022430
NewValues are Y: 0.696557, Pb: -0.030147, Pr: 0.023434
NewValues are Y: 0.913651, Pb: -0.035367, Pr: 0.022430
NewValues are Y: 0.834369, Pb: -0.039313, Pr: 0.028631
NewValues are Y: 0.673584, Pb: -0.039313, Pr: 0.028631
NewValues are Y: 0.548094, Pb: -0.039313, Pr: 0.028631
NewValues are Y: 0.571624, Pb: -0.039313, Pr: 0.028631
NewValues are Y: 0.584561, Pb: -0.039975, Pr: 0.030592
NewValues are Y: 0.600247, Pb: -0.039975, Pr: 0.030592
NewValues are Y: 0.717894, Pb: -0.039975, Pr: 0.030592
NewValues are Y: 0.674757, Pb: -0.039975, Pr: 0.030592
NewValues are Y: 0.485114, Pb: -0.034754, Pr: 0.031596
NewValues are Y: 0.332173, Pb: -0.034754, Pr: 0.031596
NewValues are Y: 0.390996, Pb: -0.034754, Pr: 0.031596
NewValues are Y: 0.351780, Pb: -0.034754, Pr: 0.031596
NewValues are Y: 0.364482, Pb: -0.030857, Pr: 0.036522
NewValues are Y: 0.435349, Pb: -0.035440, Pr: 0.039121
NewValues are Y: 0.450757, Pb: -0.030857, Pr: 0.036522
NewValues are Y: 0.333110, Pb: -0.030857, Pr: 0.036522
NewValues are Y: 0.451314, Pb: -0.040023, Pr: 0.041719
NewValues are Y: 0.584200, Pb: -0.041984, Pr: 0.042038
NewValues are Y: 0.353275, Pb: -0.040023, Pr: 0.041719
NewValues are Y: 0.545431, Pb: -0.040023, Pr: 0.041719
NewValues are Y: 0.555788, Pb: -0.034803, Pr: 0.042723
NewValues are Y: 0.493894, Pb: -0.030857, Pr: 0.036522
NewValues are Y: 0.384369, Pb: -0.035440, Pr: 0.039121
NewValues are Y: 0.380169, Pb: -0.030857, Pr: 0.036522
NewValues are Y: 0.641910, Pb: -0.023651, Pr: 0.031644
NewValues are Y: 0.532678, Pb: -0.015122, Pr: 0.022844
NewValues are Y: 0.547792, Pb: -0.023651, Pr: 0.031644
NewValues are Y: 0.575816, Pb: -0.015122, Pr: 0.022844
NewValues are Y: 0.301027, Pb: -0.010539, Pr: 0.020246
NewValues are Y: 0.494761, Pb: -0.009215, Pr: 0.016324
NewValues are Y: 0.567694, Pb: -0.010539, Pr: 0.020246
NewValues are Y: 0.455545, Pb: -0.009215, Pr: 0.016324
NewValues are Y: 0.533933, Pb: -0.009191, Pr: 0.010761
NewValues are Y: 0.274663, Pb: -0.011152, Pr: 0.011079
NewValues are Y: 0.224173, Pb: -0.009215, Pr: 0.016324
NewValues are Y: 0.121722, Pb: -0.011152, Pr: 0.011079
NewValues are Y: 0.311408, Pb: -0.016397, Pr: 0.015639
NewValues are Y: 0.619424, Pb: -0.024240, Pr: 0.016914
NewValues are Y: 0.319251, Pb: -0.016397, Pr: 0.015639
NewValues are Y: 0.591973, Pb: -0.024240, Pr: 0.016914
NewValues are Y: 0.676949, Pb: -0.030147, Pr: 0.023434
NewValues are Y: 0.650012, Pb: -0.039289, Pr: 0.023068
NewValues are Y: 0.547537, Pb: -0.030147, Pr: 0.023434
NewValues are Y: 0.575502, Pb: -0.039289, Pr: 0.023068
NewValues are Y: 0.718576, Pb: -0.042573, Pr: 0.027308
NewValues are Y: 0.659710, Pb: -0.042549, Pr: 0.021745
NewValues are Y: 0.714655, Pb: -0.042573, Pr: 0.027308
NewValues are Y: 0.600929, Pb: -0.042573, Pr: 0.027308
NewValues are Y: 0.418639, Pb: -0.039289, Pr: 0.023068
NewValues are Y: 0.498200, Pb: -0.039926, Pr: 0.019465
NewValues are Y: 0.375502, Pb: -0.039289, Pr: 0.023068
NewValues are Y: 0.551973, Pb: -0.039289, Pr: 0.023068
NewValues are Y: 0.569514, Pb: -0.042549, Pr: 0.021745
NewValues are Y: 0.669686, Pb: -0.050392, Pr: 0.023020
NewValues are Y: 0.549906, Pb: -0.042549, Pr: 0.021745
NewValues are Y: 0.654894, Pb: -0.046470, Pr: 0.022383
NewValues are Y: 0.498588, Pb: -0.055637, Pr: 0.027580
NewValues are Y: 0.511314, Pb: -0.062818, Pr: 0.026894
NewValues are Y: 0.580941, Pb: -0.055637, Pr: 0.027580
NewValues are Y: 0.482008, Pb: -0.059558, Pr: 0.028217
NewValues are Y: 0.757243, Pb: -0.062181, Pr: 0.030497
NewValues are Y: 0.579878, Pb: -0.066102, Pr: 0.031135
NewValues are Y: 0.538765, Pb: -0.062818, Pr: 0.026894
NewValues are Y: 0.490576, Pb: -0.062181, Pr: 0.030497
NewValues are Y: 0.349890, Pb: -0.060244, Pr: 0.035742
NewValues are Y: 0.544561, Pb: -0.055024, Pr: 0.036746
NewValues are Y: 0.618133, Pb: -0.058921, Pr: 0.031820
NewValues are Y: 0.553298, Pb: -0.051102, Pr: 0.036108
NewValues are Y: 0.709647, Pb: -0.041960, Pr: 0.036474
NewValues are Y: 0.714910, Pb: -0.036078, Pr: 0.035518
NewValues are Y: 0.600290, Pb: -0.039999, Pr: 0.036156
NewValues are Y: 0.701737, Pb: -0.030857, Pr: 0.036522
NewValues are Y: 0.646726, Pb: -0.019730, Pr: 0.031006
NewValues are Y: 0.599153, Pb: -0.010587, Pr: 0.031373
NewValues are Y: 0.638925, Pb: -0.019754, Pr: 0.036570
NewValues are Y: 0.462388, Pb: -0.008651, Pr: 0.036617
NewValues are Y: 0.553435, Pb: -0.004705, Pr: 0.030416
NewValues are Y: 0.500478, Pb: -0.030147, Pr: 0.023434
NewValues are Y: 0.452412, Pb: -0.000808, Pr: 0.035342
NewValues are Y: 0.575243, Pb: -0.023651, Pr: 0.031644
NewValues are Y: 0.353157, Pb: -0.090858, Pr: 0.016629
NewValues are Y: 0.548365, Pb: -0.105858, Pr: 0.011656
NewValues are Y: 0.419522, Pb: -0.075196, Pr: 0.019641
NewValues are Y: 0.451196, Pb: -0.090858, Pr: 0.016629
NewValues are Y: 0.616729, Pb: -0.075833, Pr: 0.016039
NewValues are Y: 0.263251, Pb: -0.055612, Pr: 0.022016
NewValues are Y: 0.419902, Pb: -0.062132, Pr: 0.019370
NewValues are Y: 0.489294, Pb: -0.050392, Pr: 0.023020
NewValues are Y: 0.281494, Pb: -0.050416, Pr: 0.028584
NewValues are Y: 0.466129, Pb: -0.055024, Pr: 0.036746
NewValues are Y: 0.756898, Pb: -0.046494, Pr: 0.027946
NewValues are Y: 0.612122, Pb: -0.051102, Pr: 0.036108
NewValues are Y: 0.755776, Pb: -0.074632, Pr: 0.039934
NewValues are Y: 0.698125, Pb: -0.075293, Pr: 0.041895
NewValues are Y: 0.455604, Pb: -0.066788, Pr: 0.038659
NewValues are Y: 0.638788, Pb: -0.066151, Pr: 0.042262
NewValues are Y: 0.254196, Pb: -0.061568, Pr: 0.039663
NewValues are Y: 0.451271, Pb: -0.039999, Pr: 0.036156
NewValues are Y: 0.569263, Pb: -0.055685, Pr: 0.038707
NewValues are Y: 0.448008, Pb: -0.031519, Pr: 0.038483
NewValues are Y: 0.759871, Pb: 0.000516, Pr: 0.031420
NewValues are Y: 0.772655, Pb: 0.011006, Pr: 0.022301
NewValues are Y: 0.620145, Pb: -0.004729, Pr: 0.035979
NewValues are Y: 0.838918, Pb: 0.009020, Pr: 0.028184
NewValues are Y: 0.741263, Pb: -0.000049, Pr: 0.011127
NewValues are Y: 0.435706, Pb: -0.026789, Pr: 0.002503
NewValues are Y: 0.763706, Pb: 0.000564, Pr: 0.020293
NewValues are Y: 0.429122, Pb: -0.027500, Pr: 0.015591
NewValues are Y: 0.497545, Pb: -0.070540, Pr: 0.000352
NewValues are Y: 0.657824, Pb: -0.090172, Pr: 0.009105
NewValues are Y: 0.371863, Pb: -0.066005, Pr: 0.008881
NewValues are Y: 0.485976, Pb: -0.081716, Pr: 0.016995
NewValues are Y: 0.592925, Pb: -0.077891, Pr: 0.038611
NewValues are Y: 0.416024, Pb: -0.046665, Pr: 0.066890
NewValues are Y: 0.713533, Pb: -0.070710, Pr: 0.039297
NewValues are Y: 0.686502, Pb: -0.035538, Pr: 0.061374
NewValues are Y: 0.569059, Pb: 0.015248, Pr: 0.097592
NewValues are Y: 0.671353, Pb: 0.050469, Pr: 0.108542
NewValues are Y: 0.528435, Pb: 0.020469, Pr: 0.098596
NewValues are Y: 0.659588, Pb: 0.050469, Pr: 0.108542
NewValues are Y: 0.549396, Pb: 0.066180, Pr: 0.100428
NewValues are Y: 0.596584, Pb: 0.050615, Pr: 0.075162
NewValues are Y: 0.626933, Pb: 0.062258, Pr: 0.101066
NewValues are Y: 0.553961, Pb: 0.041473, Pr: 0.074795
NewValues are Y: 0.513898, Pb: -0.000097, Pr: 0.022254
NewValues are Y: 0.572047, Pb: -0.041765, Pr: -0.008033
NewValues are Y: 0.544420, Pb: -0.004043, Pr: 0.028455
NewValues are Y: 0.498988, Pb: -0.047010, Pr: -0.003474
NewValues are Y: 0.777212, Pb: -0.075663, Pr: -0.022906
NewValues are Y: 0.684824, Pb: -0.085491, Pr: -0.015748
NewValues are Y: 0.624102, Pb: -0.082207, Pr: -0.019988
NewValues are Y: 0.595184, Pb: -0.094658, Pr: -0.010551
NewValues are Y: 0.497953, Pb: -0.075196, Pr: 0.019641
NewValues are Y: 0.502427, Pb: -0.062229, Pr: 0.041624
NewValues are Y: 0.513192, Pb: -0.077157, Pr: 0.019960
NewValues are Y: 0.536828, Pb: -0.066151, Pr: 0.042262
NewValues are Y: 0.736890, Pb: -0.055121, Pr: 0.059000
NewValues are Y: 0.607714, Pb: -0.059680, Pr: 0.056035
NewValues are Y: 0.631008, Pb: -0.055121, Pr: 0.059000
NewValues are Y: 0.584184, Pb: -0.059680, Pr: 0.056035
NewValues are Y: 0.575384, Pb: -0.074632, Pr: 0.039934
NewValues are Y: 0.649765, Pb: -0.074558, Pr: 0.023244
NewValues are Y: 0.600937, Pb: -0.071347, Pr: 0.035694
NewValues are Y: 0.596886, Pb: -0.071274, Pr: 0.019004
