NewValues are red flaot: 0.423529, green float: 0.454902, blue float: 0.364706
NewValues are red flaot: 0.070588, green float: 0.101961, blue float: 0.007843
NewValues are red flaot: 0.149020, green float: 0.164706, blue float: 0.058824
NewValues are red flaot: 0.447059, green float: 0.447059, blue float: 0.337255
NewValues are red flaot: 0.584314, green float: 0.552941, blue float: 0.462745
NewValues are red flaot: 0.631373, green float: 0.572549, blue float: 0.498039
NewValues are red flaot: 0.556863, green float: 0.462745, blue float: 0.423529
NewValues are red flaot: 0.423529, green float: 0.325490, blue float: 0.298039
NewValues are red flaot: 0.501961, green float: 0.423529, blue float: 0.380392
NewValues are red flaot: 0.525490, green float: 0.474510, blue float: 0.411765
NewValues are red flaot: 0.529412, green float: 0.521569, blue float: 0.423529
NewValues are red flaot: 0.529412, green float: 0.541176, blue float: 0.427451
NewValues are red flaot: 0.509804, green float: 0.513726, blue float: 0.392157
NewValues are red flaot: 0.415686, green float: 0.400000, blue float: 0.294118
NewValues are red flaot: 0.521569, green float: 0.478431, blue float: 0.400000
NewValues are red flaot: 0.909804, green float: 0.862745, blue float: 0.807843
NewValues are red flaot: 0.854902, green float: 0.819608, blue float: 0.792157
NewValues are red flaot: 0.517647, green float: 0.498039, blue float: 0.474510
NewValues are red flaot: 0.709804, green float: 0.682353, blue float: 0.658824
NewValues are red flaot: 0.682353, green float: 0.654902, blue float: 0.615686
NewValues are red flaot: 0.717647, green float: 0.682353, blue float: 0.647059
NewValues are red flaot: 0.631373, green float: 0.600000, blue float: 0.549020
NewValues are red flaot: 0.921569, green float: 0.882353, blue float: 0.835294
NewValues are red flaot: 0.792157, green float: 0.756863, blue float: 0.698039
NewValues are red flaot: 0.874510, green float: 0.827451, blue float: 0.764706
NewValues are red flaot: 0.713726, green float: 0.666667, blue float: 0.603922
NewValues are red flaot: 0.627451, green float: 0.576471, blue float: 0.513726
NewValues are red flaot: 0.643137, green float: 0.592157, blue float: 0.529412
NewValues are red flaot: 0.529412, green float: 0.474510, blue float: 0.423529
NewValues are red flaot: 0.376471, green float: 0.321569, blue float: 0.270588
NewValues are red flaot: 0.415686, green float: 0.349020, blue float: 0.309804
NewValues are red flaot: 0.490196, green float: 0.419608, blue float: 0.372549
NewValues are red flaot: 0.509804, green float: 0.435294, blue float: 0.380392
NewValues are red flaot: 0.643137, green float: 0.568627, blue float: 0.509804
NewValues are red flaot: 0.615686, green float: 0.537255, blue float: 0.494118
NewValues are red flaot: 0.545098, green float: 0.478431, blue float: 0.439216
NewValues are red flaot: 0.686275, green float: 0.627451, blue float: 0.600000
NewValues are red flaot: 0.564706, green float: 0.521569, blue float: 0.505882
NewValues are red flaot: 0.329412, green float: 0.290196, blue float: 0.282353
NewValues are red flaot: 0.517647, green float: 0.486275, blue float: 0.478431
NewValues are red flaot: 0.549020, green float: 0.529412, blue float: 0.517647
NewValues are red flaot: 0.290196, green float: 0.270588, blue float: 0.254902
NewValues are red flaot: 0.333333, green float: 0.305882, blue float: 0.282353
NewValues are red flaot: 0.643137, green float: 0.615686, blue float: 0.576471
NewValues are red flaot: 0.709804, green float: 0.670588, blue float: 0.623529
NewValues are red flaot: 0.682353, green float: 0.647059, blue float: 0.580392
NewValues are red flaot: 0.756863, green float: 0.713726, blue float: 0.643137
NewValues are red flaot: 0.690196, green float: 0.658824, blue float: 0.584314
NewValues are red flaot: 0.450980, green float: 0.415686, blue float: 0.349020
NewValues are red flaot: 0.525490, green float: 0.498039, blue float: 0.427451
NewValues are red flaot: 0.600000, green float: 0.568627, blue float: 0.494118
NewValues are red flaot: 0.701961, green float: 0.670588, blue float: 0.580392
NewValues are red flaot: 0.537255, green float: 0.498039, blue float: 0.400000
NewValues are red flaot: 0.549020, green float: 0.513726, blue float: 0.400000
NewValues are red flaot: 0.800000, green float: 0.756863, blue float: 0.647059
NewValues are red flaot: 0.623529, green float: 0.580392, blue float: 0.462745
NewValues are red flaot: 0.400000, green float: 0.345098, blue float: 0.243137
NewValues are red flaot: 0.596078, green float: 0.537255, blue float: 0.447059
NewValues are red flaot: 0.760784, green float: 0.698039, blue float: 0.635294
NewValues are red flaot: 0.764706, green float: 0.701961, blue float: 0.650980
NewValues are red flaot: 0.690196, green float: 0.631373, blue float: 0.611765
NewValues are red flaot: 0.643137, green float: 0.580392, blue float: 0.580392
NewValues are red flaot: 0.596078, green float: 0.533333, blue float: 0.545098
NewValues are red flaot: 0.533333, green float: 0.494118, blue float: 0.447059
NewValues are red flaot: 0.376471, green float: 0.372549, blue float: 0.192157
NewValues are red flaot: 0.564706, green float: 0.576471, blue float: 0.360784
NewValues are red flaot: 0.639216, green float: 0.631373, blue float: 0.482353
NewValues are red flaot: 0.294118, green float: 0.266667, blue float: 0.164706
NewValues are red flaot: 0.321569, green float: 0.278431, blue float: 0.192157
NewValues are red flaot: 0.517647, green float: 0.458824, blue float: 0.368627
NewValues are red flaot: 0.811765, green float: 0.752941, blue float: 0.623529
NewValues are red flaot: 0.756863, green float: 0.694118, blue float: 0.564706
NewValues are red flaot: 0.309804, green float: 0.247059, blue float: 0.145098
NewValues are red flaot: 0.501961, green float: 0.439216, blue float: 0.380392
NewValues are red flaot: 0.803922, green float: 0.737255, blue float: 0.760784
NewValues are red flaot: 0.803922, green float: 0.752941, blue float: 0.792157
NewValues are red flaot: 0.756863, green float: 0.733333, blue float: 0.741176
NewValues are red flaot: 0.439216, green float: 0.443137, blue float: 0.388235
NewValues are red flaot: 0.498039, green float: 0.521569, blue float: 0.372549
NewValues are red flaot: 0.670588, green float: 0.682353, blue float: 0.498039
NewValues are red flaot: 0.647059, green float: 0.592157, blue float: 0.454902
NewValues are red flaot: 0.509804, green float: 0.384314, blue float: 0.333333
NewValues are red flaot: 0.705882, green float: 0.494118, blue float: 0.596078
NewValues are red flaot: 0.823529, green float: 0.576471, blue float: 0.760784
NewValues are red flaot: 0.690196, green float: 0.454902, blue float: 0.666667
NewValues are red flaot: 0.701961, green float: 0.525490, blue float: 0.686275
NewValues are red flaot: 0.545098, green float: 0.498039, blue float: 0.513726
NewValues are red flaot: 0.560784, green float: 0.592157, blue float: 0.498039
NewValues are red flaot: 0.745098, green float: 0.819608, blue float: 0.643137
